% Model:              0.5mm Simulation.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 29 2024, 12:00
% Dimension:          1
% Nodes:              11692
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Electric potential
0                         6.080603334028642E-8
1.909067488981009E-6      6.080633361865669E-8
0.003313467338971421      6.132020240436559E-8
0.00472530429067497       6.153928323596035E-8
0.00738040731095424       6.196165350383224E-8
0.009922182065487561      6.238465456543823E-8
0.01099694858053013       6.255529709527245E-8
0.012738312006556285      6.283177636422926E-8
0.014760825200529126      6.316126873078542E-8
0.019842455063486142      6.402778612938377E-8
0.01998759080283463       6.405136119884549E-8
0.020751319722434047      6.417541721985207E-8
0.021256949572734385      6.425976864398449E-8
0.022141243090096907      6.440729042794617E-8
0.024569739526498324      6.483154539888731E-8
0.02873170619776033       6.553826633059512E-8
0.028764327438313586      6.554380556609083E-8
0.02876715501445659       6.554429665090043E-8
0.028821158105584388      6.555367574323292E-8
0.029521660979670017      6.567309697152258E-8
0.029762728061484722      6.571614746357319E-8
0.031458978724472786      6.600569443300003E-8
0.036777335154193125      6.691352841069985E-8
0.03690144980817678       6.693453337770827E-8
0.03717395247228339       6.698374777731739E-8
0.039644224193727595      6.742012698147802E-8
0.04424464952177232       6.823131865513589E-8
0.04746508452405962       6.883703685864134E-8
0.0485709460717203        6.903714661067262E-8
0.04943210857347502       6.9192977162019E-8
0.0515878492353643        6.958227722829124E-8
0.058063135978942526      7.083120099943236E-8
0.05809556756149625       7.083734177232131E-8
0.058152833893920786      7.084818489232735E-8
0.05893104894895629       7.098962466110359E-8
0.05921999295322067       7.104571841917572E-8
0.06054653033006474       7.130312632095774E-8
0.06063967616534072       7.132120080150905E-8
0.06627424866255005       7.239034453520313E-8
0.06872449594202656       7.288665436378252E-8
0.0688405832637855        7.291016843080933E-8
0.06900787733296632       7.294271382606774E-8
0.07082754475478836       7.329649650239304E-8
0.07095358000957397       7.332063031384611E-8
0.07361744837614381       7.383072010581933E-8
0.07362728299588461       7.383292605683868E-8
0.07379096291630383       7.386964022544174E-8
0.07555944819896787       7.418280568345854E-8
0.0761721931668582        7.430889221481068E-8
0.0767358625824226        7.443496073800717E-8
0.07790696464293134       7.470067558685295E-8
0.07909002786601071       7.493412262233724E-8
0.07968305743575499       7.505114172352347E-8
0.07985427678869961       7.50899804187791E-8
0.07990362783790239       7.510130069587933E-8
0.08038545018929355       7.521182240958086E-8
0.08079154804467592       7.529723285563765E-8
0.08102106466157544       7.534993909264913E-8
0.08230443902786533       7.558171820037065E-8
0.0829726909949784        7.570240538934608E-8
0.08380666667254211       7.585467499270458E-8
0.08456468887038149       7.601603541149359E-8
0.08541090292249187       7.619616925747124E-8
0.08609110520125718       7.635377846731418E-8
0.08750432058642588       7.668540120531544E-8
0.08793027590932923       7.677218304174187E-8
0.08825116640684527       7.684749265511935E-8
0.08838096063727008       7.687142370027889E-8
0.08920951940753241       7.702419071683892E-8
0.09003025780030782       7.717741936117693E-8
0.09205388514611634       7.759433432334114E-8
0.0923279336138112        7.765915972821133E-8
0.09314965696410837       7.785629831410682E-8
0.09317811353803407       7.786312529394243E-8
0.094649612678122         7.818663988087166E-8
0.09489759834377942       7.824606239028619E-8
0.0954463478200882        7.83775541474233E-8
0.0954812681521151        7.838601980414437E-8
0.09594661859948772       7.847482636015175E-8
0.09617749438290346       7.851888623654458E-8
0.09619393750043592       7.852253553026761E-8
0.09710167652991508       7.87239940636555E-8
0.09856476202636522       7.900210553456243E-8
0.09926896755593795       7.913754010103557E-8
0.10030110361969058       7.93569863977781E-8
0.101683176232644         7.969473848078065E-8
0.10205706333983322       7.978734753624831E-8
0.10271136989738494       7.994941440380288E-8
0.10621794515933303       8.074532457060229E-8
0.10644944435496484       8.079595507929781E-8
0.11011417218050212       8.162356207460374E-8
0.11023696670004668       8.165154505407235E-8
0.11357751719163645       8.241255100060392E-8
0.11371438472463069       8.244373059413396E-8
0.11756859742090953       8.333664158936545E-8
0.11768492907100203       8.336384220181555E-8
0.12086065542738211       8.410607870609634E-8
0.12097932509429477       8.413381439514772E-8
0.1250230226613187        8.509516906999089E-8
0.12513289144196094       8.512153582118303E-8
0.12814166299030383       8.584322157500415E-8
0.12824426546395884       8.58678318660662E-8
0.1324774479017261        8.690085855598276E-8
0.13258085381291806       8.69263344866385E-8
0.13542080795762423       8.762557412446781E-8
0.13550920583362291       8.764733901771905E-8
0.1399318731421335        8.87553472773015E-8
0.1400288161838752        8.877987021674941E-8
0.1426983152447896        8.945465427674453E-8
0.142774146203287         8.94738224880382E-8
0.1473862983825427        9.066019565436526E-8
0.14747677855483232       9.068369847418674E-8
0.14997437495592614       9.13319048030488E-8
0.15003908657295284       9.134869954205814E-8
0.15484072362295365       9.261688729804988E-8
0.154924740925793         9.26392981657251E-8
0.15724914886785513       9.32586944446739E-8
0.15730402694261514       9.32733180719157E-8
0.16229514886335927       9.462682900968892E-8
0.16237270329674836       9.464807164224283E-8
