% Model:              0.5mm Simulation.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 29 2024, 11:58
% Dimension:          1
% Nodes:              11692
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Electric potential
0                         2.3980992615117456E-8
1.909067488981009E-6      2.3981111189117778E-8
0.003313467338971421      2.4184165021976657E-8
0.00472530429067497       2.4270734208115996E-8
0.00738040731095424       2.443764951077194E-8
0.009922182065487561      2.4604745433182386E-8
0.01099694858053013       2.4672164697792422E-8
0.012738312006556285      2.478139906633524E-8
0.014760825200529126      2.491158505231827E-8
0.019842455063486142      2.525387247366702E-8
0.01998759080283463       2.5263184456763862E-8
0.020751319722434047      2.5312185693962763E-8
0.021256949572734385      2.5345503976787808E-8
0.022141243090096907      2.5403774155050315E-8
0.024569739526498324      2.557132896811226E-8
0.02873170619776033       2.585025307802987E-8
0.028764327438313586      2.585243926816652E-8
0.02876715501445659       2.5852632990076875E-8
0.028821158105584388      2.5856332831017913E-8
0.029521660979670017      2.5903447737857002E-8
0.029762728061484722      2.592043544940104E-8
0.031458978724472786      2.6034688471223216E-8
0.036777335154193125      2.6392912822423886E-8
0.03690144980817678       2.6401201956799282E-8
0.03717395247228339       2.6420613994022715E-8
0.039644224193727595      2.6592770370945246E-8
0.04424464952177232       2.6913175665135173E-8
0.04746508452405962       2.715235743800931E-8
0.0485709460717203        2.723127789478998E-8
0.04943210857347502       2.7292735260899353E-8
0.0515878492353643        2.7446462140912796E-8
0.058063135978942526      2.7939526691269983E-8
0.05809556756149625       2.7941951385880114E-8
0.058152833893920786      2.7946232810240068E-8
0.05893104894895629       2.8002009315382528E-8
0.05921999295322067       2.8024125180225533E-8
0.06054653033006474       2.8125736010968552E-8
0.06063967616534072       2.8132870846268288E-8
0.06627424866255005       2.855497840712838E-8
0.06872449594202656       2.8750913745321796E-8
0.0688405832637855        2.876019673028381E-8
0.06900787733296632       2.877302562274746E-8
0.07082754475478836       2.891265394954242E-8
0.07095358000957397       2.892217465113852E-8
0.07361744837614381       2.9123403234780984E-8
0.07362728299588461       2.9124274281173074E-8
0.07379096291630383       2.9138771313890393E-8
0.07555944819896787       2.9261484908922894E-8
0.0761721931668582        2.9311211457531783E-8
0.0767358625824226        2.936108425336244E-8
0.07790696464293134       2.9465978476477103E-8
0.07909002786601071       2.9557849746651507E-8
0.07968305743575499       2.9603901706310546E-8
0.07985427678869961       2.9619277742209557E-8
0.07990362783790239       2.9623749840510443E-8
0.08038545018929355       2.966741166642505E-8
0.08079154804467592       2.970114657883982E-8
0.08102106466157544       2.9722039817066482E-8
0.08230443902786533       2.9813229592111765E-8
0.0829726909949784        2.9860712032275184E-8
0.08380666667254211       2.9920422089824093E-8
0.08456468887038149       2.9984142800992516E-8
0.08541090292249187       3.00552770782666E-8
0.08609110520125718       3.0117706490021396E-8
0.08750432058642588       3.0248743092155434E-8
0.08793027590932923       3.028292010582517E-8
