% Model:              0.5mm Simulation.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 29 2024, 11:57
% Dimension:          1
% Nodes:              11692
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Electric potential
0                         7.152606141457522E-9
1.909067488981009E-6      7.152641559264287E-9
0.003313467338971421      7.213284564539135E-9
0.00472530429067497       7.239138868975416E-9
0.00738040731095424       7.288948832190291E-9
0.009922182065487561      7.338718097245327E-9
0.01099694858053013       7.358839617229537E-9
0.012738312006556285      7.391441004122584E-9
0.014760825200529126      7.430280860323E-9
0.019842455063486142      7.532253934157792E-9
0.01998759080283463       7.535031590720472E-9
0.020751319722434047      7.549648091488297E-9
0.021256949572734385      7.559585757628146E-9
0.022141243090096907      7.576965692258122E-9
0.024569739526498324      7.626895942828182E-9
0.02873170619776033       7.710083105930279E-9
0.028764327438313586      7.710735121833543E-9
0.02876715501445659       7.710792930127538E-9
0.028821158105584388      7.71189699467274E-9
0.029521660979670017      7.725971711751236E-9
0.029762728061484722      7.731044429651582E-9
0.031458978724472786      7.765165988027269E-9
0.036777335154193125      7.872149356310607E-9
0.03690144980817678       7.874625084341483E-9
0.03717395247228339       7.880425934199123E-9
0.039644224193727595      7.931815111663983E-9
0.04424464952177232       8.027379581767487E-9
0.04746508452405962       8.09875668315638E-9
0.0485709460717203        8.12231697986606E-9
0.04943210857347502       8.140663981893128E-9
0.0515878492353643        8.186511194381093E-9
0.058063135978942526      8.333651949527729E-9
0.05809556756149625       8.33437586681755E-9
0.058152833893920786      8.335654129699103E-9
0.05893104894895629       8.352316435422479E-9
0.05921999295322067       8.358926925634316E-9
0.06054653033006474       8.389267652046769E-9
0.06063967616534072       8.3913980950738E-9
0.06627424866255005       8.517303866346056E-9
0.06872449594202656       8.575788441048802E-9
0.0688405832637855        8.578559311441458E-9
0.06900787733296632       8.5823912481915E-9
0.07082754475478836       8.624050238609103E-9
0.07095358000957397       8.626891847955032E-9
0.07361744837614381       8.686951814983177E-9
0.07362728299588461       8.687211357373292E-9
0.07379096291630383       8.691530983233842E-9
0.07555944819896787       8.728318715907702E-9
0.0761721931668582        8.74318951214699E-9
0.0767358625824226        8.75806716456753E-9
0.07790696464293134       8.789357300289933E-9
0.07909002786601071       8.816765893119093E-9
0.07968305743575499       8.830504893449486E-9
0.07985427678869961       8.83507349837997E-9
0.07990362783790239       8.836404525888022E-9
0.08038545018929355       8.849399564778961E-9
0.08079154804467592       8.859448915115496E-9
0.08102106466157544       8.865643252711198E-9
0.08230443902786533       8.89284711621977E-9
0.0829726909949784        8.907012145364956E-9
0.08380666667254211       8.924891024113487E-9
0.08456468887038149       8.943894636044073E-9
0.08541090292249187       8.965109217229558E-9
0.08609110520125718       8.983670695488493E-9
0.08750432058642588       9.02267690828493E-9
0.08793027590932923       9.032856562314223E-9
0.08825116640684527       9.041714768644848E-9
0.08838096063727008       9.04452337497913E-9
0.08920951940753241       9.062452487874946E-9
0.09003025780030782       9.080408753632752E-9
0.09205388514611634       9.129321725941013E-9
0.0923279336138112        9.136981145018297E-9
0.09314965696410837       9.160188899645755E-9
0.09317811353803407       9.160992592500464E-9
0.094649612678122         9.199124654960688E-9
0.09489759834377942       9.206129126311652E-9
0.0954463478200882        9.221628812454664E-9
0.0954812681521151        9.222621056566342E-9
0.09594661859948772       9.232973620866636E-9
0.09617749438290346       9.238109871205876E-9
0.09619393750043592       9.23854108244192E-9
0.09710167652991508       9.262346012871369E-9
0.09856476202636522       9.295072226960994E-9
0.09926896755593795       9.310864883271984E-9
0.10030110361969058       9.336518532417847E-9
0.101683176232644         9.376579795168304E-9
0.10205706333983322       9.387444467191417E-9
0.10271136989738494       9.406457762952852E-9
0.10621794515933303       9.499914414612511E-9
0.10644944435496484       9.50589717155178E-9
0.11011417218050212       9.603375990973414E-9
0.11023696670004668       9.606669212792363E-9
0.11357751719163645       9.696133007224376E-9
0.11371438472463069       9.699798477591276E-9
0.11756859742090953       9.805129735295362E-9
0.11768492907100203       9.808335034959467E-9
0.12086065542738211       9.895692232048225E-9
0.12097932509429477       9.898956571703952E-9
0.1250230226613187        1.0012478502765542E-8
0.12513289144196094       1.0015588322962032E-8
0.12814166299030383       1.0100591336682234E-8
0.12824426546395884       1.0103490034484882E-8
0.1324774479017261        1.022554492003689E-8
0.13258085381291806       1.022855124939643E-8
0.13542080795762423       1.0310943736458049E-8
0.13550920583362291       1.0313508327463168E-8
0.1399318731421335        1.0444441665803583E-8
0.1400288161838752        1.044733606717179E-8
0.1426983152447896        1.0526853000302796E-8
0.142774146203287         1.052911179310192E-8
0.1473862983825427        1.0669271470801032E-8
0.14747677855483232       1.0672045109509992E-8
0.14997437495592614       1.0748412996651752E-8
0.15003908657295284       1.075039165479829E-8
0.15484072362295365       1.0900127117805897E-8
0.154924740925793         1.0902770789945696E-8
0.15724914886785513       1.097570800674742E-8
0.15730402694261514       1.0977430016883439E-8
0.16229514886335927       1.1137091441636057E-8
0.16237270329674836       1.1139595602326302E-8
0.16452277551689676       1.1208812813524219E-8
0.1645689673122792        1.1210299864622568E-8
0.16974957410376845       1.1380237329150643E-8
0.16982066566770726       1.1382592120811989E-8
0.17179537422753555       1.1447792772003676E-8
0.1718339076819433        1.1449065064214874E-8
0.17720399934417586       1.1629627719250013E-8
0.17730492306233003       1.1633110172148325E-8
0.17969292465734554       1.171355827505705E-8
0.1803006835930283        1.1734552048752753E-8
0.18464539005890046       1.1884630935238058E-8
0.18552978530730968       1.191557726590168E-8
0.18689845736643917       1.1963480045598598E-8
0.18761565657542434       1.198896493195935E-8
0.19210126357993929       1.21483560513818E-8
0.1928873926896344        1.2176653612858596E-8
0.19410399007552748       1.222043312492035E-8
0.19493486021336714       1.2250823811410498E-8
0.1995571371009781        1.2419892551956811E-8
0.2002450000719591        1.2445379026034269E-8
0.20130952278461933       1.2484789757260985E-8
0.2022603431701544        1.2520602665875364E-8
0.20701301062201694       1.2699613179025102E-8
0.2076026074542856        1.2722107209805668E-8
0.2085150554937094        1.2756874198605604E-8
0.20959573144691923       1.2798795923427221E-8
0.21446888414305576       1.2987835908757443E-8
0.2149602148366121        1.3007139763080833E-8
0.21572058820280127       1.3036962716685713E-8
0.2169481082950533        1.3086003067314684E-8
0.2219247576640928        1.3284823951433366E-8
0.22231782221893504       1.3300726179298874E-8
0.22292612091188957       1.332528359097923E-8
0.22433342421228097       1.3383172114021492E-8
0.2293806311851352        1.3590785751441157E-8
0.2296754296012633        1.3603063846429969E-8
0.2301316536209832        1.3622017112710482E-8
0.23179669344673925       1.3692508561365239E-8
0.23683650470617224       1.390587498727786E-8
0.23703303698358802       1.391429804697537E-8
0.23733718633007328       1.3927295584850218E-8
0.23953357493728156       1.4022947165396834E-8
0.24429237822721106       1.423019057154928E-8
0.24439064436591096       1.4234521957967402E-8
0.24454271903916158       1.424120332211558E-8
0.25174825174825344       1.4563776650970054E-8
0.25680029215265776       1.4779279286304464E-8
0.2589421938010261        1.4880818876606318E-8
0.2615753669156824        1.5003637898460232E-8
0.2618523325570674        1.501575976202461E-8
0.2621453628613786        1.502998652523907E-8
0.2661045222301581        1.521542063376455E-8
0.266136135853813         1.52169013127607E-8
0.26690437296147884       1.525227461077867E-8
0.26871639122619584       1.5344449691349674E-8
0.27140248208310425       1.5475577889960302E-8
0.2715698582816586        1.5483251647708834E-8
0.2719564133658867        1.550097417993519E-8
0.2721537280974893        1.5510974881093714E-8
0.27254247397452147       1.5530678079690486E-8
0.27333007790659813       1.5569235677003995E-8
0.27700845377029637       1.57464266114135E-8
0.2777138110998685        1.5783880058926036E-8
0.27859635249307857       1.5830741722316268E-8
0.28052401995938325       1.5930338798706177E-8
0.2812295972505261        1.596611865008804E-8
0.2819963327659458        1.6002708915642693E-8
0.282060494174706         1.600577083587167E-8
0.2828608434373443        1.6047980769674122E-8
0.2829395850876626        1.6052133556466854E-8
0.28568453070412403       1.61919153690516E-8
0.2871125345791139        1.6261506283693858E-8
0.28771796201216837       1.629407035949417E-8
0.29105671241794795       1.6470611117834837E-8
0.29159879937941824       1.6497571906691197E-8
0.29216457498352355       1.6525710854289146E-8
0.29276875795831003       1.655888304892512E-8
0.2933366962008037        1.6590065254825477E-8
0.29491190406495527       1.667369465693931E-8
0.297216615387935         1.6793884740272776E-8
0.29985979133922314       1.6945921647485018E-8
0.3008838275853698        1.7004824765024947E-8
0.3021058461177404        1.7071051760779788E-8
0.30226865579234286       1.707971692075341E-8
0.30247351703686753       1.7091728597272022E-8
0.30498995498411574       1.723007803155133E-8
0.3072780077731423        1.7351141786748765E-8
0.3079148929510964        1.7387569483194966E-8
0.3098088289031544        1.7496917532613815E-8
0.3115255584807244        1.7596034416942745E-8
0.31228735975394173       1.7637088111017273E-8
0.3132313181637656        1.7692212209812184E-8
0.31431861050030463       1.775416761493887E-8
0.31507648524301857       1.7800362093218017E-8
0.31885207700734597       1.802917120294731E-8
0.3197224924575419        1.80788768375795E-8
0.32064898721251467       1.8131784917013086E-8
0.32155877763110396       1.8188912304893857E-8
0.3220092896014428        1.821720076732283E-8
0.3228947217904441        1.826959237216851E-8
0.32498967336575646       1.8392910980391964E-8
0.32573871565914914       1.8436193014276918E-8
0.3269793639247247        1.850788159680905E-8
0.33071295833786607       1.87456240158861E-8
0.33261688521926125       1.8865953778358705E-8
0.3331319072056349        1.889850359626079E-8
0.3333097406369312        1.890907700788979E-8
0.3335446521611054        1.89244756952233E-8
0.3385311948852916        1.9232558385609257E-8
0.33964011734914124       1.9300599115059546E-8
0.3407971576565032        1.9378795749018194E-8
0.34425452480982344       1.9612456125436054E-8
0.34435823445577185       1.9619051712574168E-8
0.34597049406134595       1.972077533150622E-8
0.3463494314327118        1.974707587362145E-8
0.3482372273148613        1.9877602147952926E-8
0.35130602549408607       2.007772524815101E-8
0.3523008707735542        2.0141415540272724E-8
0.35416766798013555       2.0272974366152852E-8
0.3553771424140155        2.0357703440073503E-8
0.3566713206662939        2.0443066972575976E-8
0.35863124748576425       2.057234304135678E-8
0.3619859045275575        2.0816015354634822E-8
0.36292980246861717       2.0884247180466262E-8
0.3630238169269475        2.0890652916022785E-8
0.36496162419797074       2.1022686660173232E-8
0.3651897069645429        2.1039786829301606E-8
0.36649976001820406       2.1138006125399035E-8
0.3698041410749795        2.1371275541983856E-8
0.371292000910179         2.1475898945859643E-8
0.3776223776223837        2.1965852158681255E-8
0.38319188620948097       2.235562232053678E-8
0.3846975358916289        2.2471729073102838E-8
0.38725841140715644       2.267782601122436E-8
0.38876139479657823       2.27965852724292E-8
0.39081987924871875       2.2974615857299058E-8
0.3910461079619907        2.2992043581990156E-8
0.39177269416088834       2.3048016778564575E-8
0.3927183971025645        2.3124053064953364E-8
0.39287379481985596       2.3136547332249542E-8
0.39433090338367904       2.324400199836136E-8
0.39596976508589776       2.337670857753294E-8
0.39689444519193273       2.3451584409662982E-8
0.3988478524301442        2.3607054034082083E-8
0.39990041197077275       2.3694290907523325E-8
0.4037939068982066        2.4046805390285125E-8
0.40401738087505734       2.4066246431461574E-8
0.40546992055787356       2.417841412067806E-8
0.40592301069940007       2.4216611201798906E-8
0.4065304789767037        2.4270022242807916E-8
0.408125212017346         2.4408408269395302E-8
0.4110394291449726        2.4640457903862966E-8
0.4129981689686595        2.4811286194870777E-8
0.4161665127614782        2.509888391536349E-8
0.41660893773206986       2.5138399629368794E-8
0.41721488250139416       2.5197451585950942E-8
0.4185130341478267        2.5310440148054726E-8
0.42007332723791535       2.5446244985027475E-8
0.4221784463191689        2.563708814845369E-8
0.423376629214836         2.5755328257546092E-8
0.4258025465462527        2.5976339581757547E-8
0.427148485507173         2.6097082380963985E-8
0.42774795490626616       2.6152993673644393E-8
0.4299654361739993        2.6379033122623575E-8
0.4304123841277345        2.642276435496836E-8
0.4333174634933634        2.6675624901955976E-8
0.43587747344542294       2.6942385969489504E-8
0.43602863712639106       2.695608788186425E-8
0.4363348508885849        2.6985048052088994E-8
0.4382474676785524        2.7154509749926304E-8
